ï»¿Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Amplifier Type","Number of Circuits","Output Type","Slew Rate","Gain Bandwidth Product","-3db Bandwidth","Current - Input Bias","Voltage - Input Offset","Current - Supply","Current - Output / Channel","Voltage - Supply, Single/Dual (Â±)","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.ti.com/lit/ds/symlink/ths4508.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/16-VQFN(exposed-pad).jpg,296-19324-1-ND,THS4508RGTT,Texas Instruments,IC OPAMP DIFF 3GHZ 16QFN,504,6500,"11.64000","0","1","Cut Tape (CT)","-","Active","Differential","1","Differential","6400 V/Âµs","3GHz","2GHz","8ÂµA","1mV","39.2mA","96mA","3.75 V ~ 5.25 V","-40Â°C ~ 85Â°C","Surface Mount","16-VFQFN Exposed Pad","16-QFN (3x3)"
http://www.ti.com/lit/ds/symlink/ths4508.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/16-VQFN(exposed-pad).jpg,296-19324-6-ND,THS4508RGTT,Texas Instruments,IC OPAMP DIFF 3GHZ 16QFN,504,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","Differential","1","Differential","6400 V/Âµs","3GHz","2GHz","8ÂµA","1mV","39.2mA","96mA","3.75 V ~ 5.25 V","-40Â°C ~ 85Â°C","Surface Mount","16-VFQFN Exposed Pad","16-QFN (3x3)"
http://www.ti.com/lit/ds/symlink/tl051a.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/14-DIP.jpg,296-7166-5-ND,TL054ACN,Texas Instruments,IC OPAMP JFET 2.7MHZ 14DIP,1933,0,"8.15000","0","1","Tube","-","Active","J-FET","4","-","17.8 V/Âµs","2.7MHz","-","30pA","500ÂµV","8.4mA","80mA","10 V ~ 30 V, Â±5 V ~ 15 V","0Â°C ~ 70Â°C","Through Hole","14-DIP (0.300"", 7.62mm)","14-PDIP"
http://www.ti.com/lit/ds/symlink/lm158-n.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/TO-99-8%20Pkg.jpg,296-43452-ND,LM358H/NOPB,Texas Instruments,IC OPAMP GP 1MHZ TO99-8,362,1500,"8.33000","0","1","Bulk","-","Active","General Purpose","2","-","0.1 V/Âµs","1MHz","-","45nA","2mV","1mA","40mA","3 V ~ 32 V, Â±1.5 V ~ 16 V","0Â°C ~ 70Â°C","Through Hole","TO-99-8 Metal Can","TO-99-8"
http://www.ti.com/lit/ds/symlink/lm158-n.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/TO-99-8%20Pkg.jpg,296-41168-ND,LM258H/NOPB,Texas Instruments,IC OPAMP GP 1MHZ TO99-8,986,4500,"8.38000","0","1","Bulk","-","Active","General Purpose","2","-","0.5 V/Âµs","1MHz","-","45nA","2mV","1mA","40mA","3 V ~ 32 V, Â±1.5 V ~ 16 V","-25Â°C ~ 85Â°C","Through Hole","TO-99-8 Metal Can","TO-99-8"
https://docs.broadcom.com/docs/AV02-4339EN,-,516-3733-ND,ACPL-798J-000E,Broadcom Limited,IC OP AMP ISOLATION 16SO,810,0,"8.48000","0","1","Tube","-","Active","Isolation","1","-","-","-","-","500nA","600ÂµV","15.5mA","3.5mA","4.5 V ~ 5.5 V","-40Â°C ~ 105Â°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC"
http://www.analog.com/media/en/technical-documentation/evaluation-documentation/AD8372.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-32-2;CP;32.jpg,AD8372ACPZ-R7TR-ND,AD8372ACPZ-R7,Analog Devices Inc.,IC OPAMP VGA 130MHZ 32LFCSP,1500,1500,"8.75140","0","1500","Tape & Reel (TR)","-","Active","Variable Gain","2","Differential","-","-","130MHz","400nA","-","106mA","-","4.5 V ~ 5.5 V","-40Â°C ~ 85Â°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
http://www.analog.com/media/en/technical-documentation/evaluation-documentation/AD8372.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-32-2;CP;32.jpg,AD8372ACPZ-R7CT-ND,AD8372ACPZ-R7,Analog Devices Inc.,IC OPAMP VGA 130MHZ 32LFCSP,1500,1500,"14.23000","0","1","Cut Tape (CT)","-","Active","Variable Gain","2","Differential","-","-","130MHz","400nA","-","106mA","-","4.5 V ~ 5.5 V","-40Â°C ~ 85Â°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
http://www.analog.com/media/en/technical-documentation/evaluation-documentation/AD8372.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-32-2;CP;32.jpg,AD8372ACPZ-R7DKR-ND,AD8372ACPZ-R7,Analog Devices Inc.,IC OPAMP VGA 130MHZ 32LFCSP,1500,1500,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","Variable Gain","2","Differential","-","-","130MHz","400nA","-","106mA","-","4.5 V ~ 5.5 V","-40Â°C ~ 85Â°C","Surface Mount","32-VFQFN Exposed Pad, CSP","32-LFCSP-VQ (5x5)"
http://www.ti.com/lit/ds/symlink/ths4131.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/8-MSOP.jpg,296-17881-5-ND,THS4131IDGK,Texas Instruments,IC OPAMP DIFF 225MHZ 8VSSOP,222,0,"8.77000","0","1","Tube","-","Active","Differential","1","Differential","52 V/Âµs","225MHz","150MHz","2ÂµA","200ÂµV","12.3mA","85mA","4 V ~ 33 V, Â±2 V ~ 16.5 V","-40Â°C ~ 85Â°C","Surface Mount","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-VSSOP"
