ï»¿Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Amplifier Type","Number of Circuits","Output Type","Slew Rate","Gain Bandwidth Product","-3db Bandwidth","Current - Input Bias","Voltage - Input Offset","Current - Supply","Current - Output / Channel","Voltage - Supply, Single/Dual (Â±)","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en540134,//media.digikey.com/Renders/Microchip%20Tech%20Renders/8-SOIC_751.jpg,MCP6L2T-E/SNTR-ND,MCP6L2T-E/SN,Microchip Technology,IC OPAMP GP 2.8MHZ RRO 8SOIC,6600,0,"0.41200","0","3300","Tape & Reel (TR)","-","Active","General Purpose","2","Rail-to-Rail","2.3 V/Âµs","2.8MHz","-","1pA","1mV","200ÂµA","20mA","2.7 V ~ 6 V","-40Â°C ~ 125Â°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en540134,//media.digikey.com/Renders/Microchip%20Tech%20Renders/8-SOIC_751.jpg,MCP6L2T-E/SNCT-ND,MCP6L2T-E/SN,Microchip Technology,IC OPAMP GP 2.8MHZ RRO 8SOIC,8133,0,"0.55000","0","1","Cut Tape (CT)","-","Active","General Purpose","2","Rail-to-Rail","2.3 V/Âµs","2.8MHz","-","1pA","1mV","200ÂµA","20mA","2.7 V ~ 6 V","-40Â°C ~ 125Â°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en540134,//media.digikey.com/Renders/Microchip%20Tech%20Renders/8-SOIC_751.jpg,MCP6L2T-E/SNDKR-ND,MCP6L2T-E/SN,Microchip Technology,IC OPAMP GP 2.8MHZ RRO 8SOIC,8133,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","General Purpose","2","Rail-to-Rail","2.3 V/Âµs","2.8MHz","-","1pA","1mV","200ÂµA","20mA","2.7 V ~ 6 V","-40Â°C ~ 125Â°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en561005,//media.digikey.com/Renders/Microchip%20Tech%20Renders/SOT23-5.jpg,MCP6421T-E/OTTR-ND,MCP6421T-E/OT,Microchip Technology,IC OPAMP GP 90KHZ RRO SOT23-5,3000,0,"0.41200","0","3000","Tape & Reel (TR)","-","Active","General Purpose","1","Rail-to-Rail","0.05 V/Âµs","90kHz","-","1pA","1mV","4.4ÂµA","22mA","1.8 V ~ 5.5 V, Â±0.9 V ~ 2.75 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en561005,//media.digikey.com/Renders/Microchip%20Tech%20Renders/SOT23-5.jpg,MCP6421T-E/OTCT-ND,MCP6421T-E/OT,Microchip Technology,IC OPAMP GP 90KHZ RRO SOT23-5,4224,0,"0.55000","0","1","Cut Tape (CT)","-","Active","General Purpose","1","Rail-to-Rail","0.05 V/Âµs","90kHz","-","1pA","1mV","4.4ÂµA","22mA","1.8 V ~ 5.5 V, Â±0.9 V ~ 2.75 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en561005,//media.digikey.com/Renders/Microchip%20Tech%20Renders/SOT23-5.jpg,MCP6421T-E/OTDKR-ND,MCP6421T-E/OT,Microchip Technology,IC OPAMP GP 90KHZ RRO SOT23-5,4224,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","General Purpose","1","Rail-to-Rail","0.05 V/Âµs","90kHz","-","1pA","1mV","4.4ÂµA","22mA","1.8 V ~ 5.5 V, Â±0.9 V ~ 2.75 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.st.com/content/ccc/resource/technical/document/datasheet/f3/3d/5e/f8/9a/c6/4a/79/CD00234934.pdf/files/CD00234934.pdf/jcr:content/translations/en.CD00234934.pdf,//media.digikey.com/Renders/STMicro%20Renders/SOT23-5.jpg,497-10352-2-ND,TS9511ILT,STMicroelectronics,IC OPAMP GP 3MHZ RRO SOT23-5,6000,0,"0.41300","0","3000","Tape & Reel (TR)","-","Active","General Purpose","1","Rail-to-Rail","1 V/Âµs","3MHz","-","30nA","800ÂµV","950ÂµA","20mA","2.7 V ~ 12 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.st.com/content/ccc/resource/technical/document/datasheet/f3/3d/5e/f8/9a/c6/4a/79/CD00234934.pdf/files/CD00234934.pdf/jcr:content/translations/en.CD00234934.pdf,//media.digikey.com/Renders/STMicro%20Renders/SOT23-5.jpg,497-10352-1-ND,TS9511ILT,STMicroelectronics,IC OPAMP GP 3MHZ RRO SOT23-5,6519,0,"1.00000","0","1","Cut Tape (CT)","-","Active","General Purpose","1","Rail-to-Rail","1 V/Âµs","3MHz","-","30nA","800ÂµV","950ÂµA","20mA","2.7 V ~ 12 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.st.com/content/ccc/resource/technical/document/datasheet/f3/3d/5e/f8/9a/c6/4a/79/CD00234934.pdf/files/CD00234934.pdf/jcr:content/translations/en.CD00234934.pdf,//media.digikey.com/Renders/STMicro%20Renders/SOT23-5.jpg,497-10352-6-ND,TS9511ILT,STMicroelectronics,IC OPAMP GP 3MHZ RRO SOT23-5,6519,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","General Purpose","1","Rail-to-Rail","1 V/Âµs","3MHz","-","30nA","800ÂµV","950ÂµA","20mA","2.7 V ~ 12 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.st.com/content/ccc/resource/technical/document/datasheet/39/12/97/14/01/a7/4f/de/DM00041851.pdf/files/DM00041851.pdf/jcr:content/translations/en.DM00041851.pdf,//media.digikey.com/Renders/STMicro%20Renders/STM%208-SOIC.jpg,497-12416-2-ND,LMV822IDT,STMicroelectronics,IC OPAMP GP 5.5MHZ RRO 8SO,2500,0,"0.41300","0","2500","Tape & Reel (TR)","-","Active","General Purpose","2","Rail-to-Rail","1.9 V/Âµs","5.5MHz","-","60nA","3.5mV","300ÂµA","70mA","2.5 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SO"
http://www.st.com/content/ccc/resource/technical/document/datasheet/39/12/97/14/01/a7/4f/de/DM00041851.pdf/files/DM00041851.pdf/jcr:content/translations/en.DM00041851.pdf,//media.digikey.com/Renders/STMicro%20Renders/STM%208-SOIC.jpg,497-12416-1-ND,LMV822IDT,STMicroelectronics,IC OPAMP GP 5.5MHZ RRO 8SO,3748,0,"1.00000","0","1","Cut Tape (CT)","-","Active","General Purpose","2","Rail-to-Rail","1.9 V/Âµs","5.5MHz","-","60nA","3.5mV","300ÂµA","70mA","2.5 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SO"
