ï»¿Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Amplifier Type","Number of Circuits","Output Type","Slew Rate","Gain Bandwidth Product","-3db Bandwidth","Current - Input Bias","Voltage - Input Offset","Current - Supply","Current - Output / Channel","Voltage - Supply, Single/Dual (Â±)","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/TS1100,1,2,3.pdf",//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-25.jpg,336-3369-2-ND,TS1102-50EG5T,Silicon Labs,IC AMP PREC CS 50V SOT23-5,0,0,"Obsolete","0","3000","Tape & Reel (TR)","-","Obsolete","Current Sense","1","-","-","-","6kHz","-","30ÂµV","680nA","-","2 V ~ 25 V","-40Â°C ~ 105Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
"//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/TS1100,1,2,3.pdf",//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-25.jpg,336-3369-1-ND,TS1102-50EG5T,Silicon Labs,IC AMP PREC CS 50V SOT23-5,0,0,"Obsolete","0","1","Cut Tape (CT)","-","Obsolete","Current Sense","1","-","-","-","6kHz","-","30ÂµV","680nA","-","2 V ~ 25 V","-40Â°C ~ 105Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
"//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/TS1100,1,2,3.pdf",//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-25.jpg,336-3369-6-ND,TS1102-50EG5T,Silicon Labs,IC AMP PREC CS 50V SOT23-5,0,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Obsolete","Current Sense","1","-","-","-","6kHz","-","30ÂµV","680nA","-","2 V ~ 25 V","-40Â°C ~ 105Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/TS1103_Rev2014.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-6%20PKG.jpg,336-3373-2-ND,TS1103-50EG6T,Silicon Labs,IC AMP PREC CS BIDIR 50V SOT23-6,0,0,"Obsolete","0","3000","Tape & Reel (TR)","-","Obsolete","Current Sense","1","-","-","-","6kHz","-","30ÂµV","680nA","-","2 V ~ 25 V","-40Â°C ~ 105Â°C","Surface Mount","SOT-23-6","SOT-23-6"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/TS1103_Rev2014.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-6%20PKG.jpg,336-3373-1-ND,TS1103-50EG6T,Silicon Labs,IC AMP PREC CS BIDIR 50V SOT23-6,0,0,"Obsolete","0","1","Cut Tape (CT)","-","Obsolete","Current Sense","1","-","-","-","6kHz","-","30ÂµV","680nA","-","2 V ~ 25 V","-40Â°C ~ 105Â°C","Surface Mount","SOT-23-6","SOT-23-6"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/TS1103_Rev2014.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-6%20PKG.jpg,336-3373-6-ND,TS1103-50EG6T,Silicon Labs,IC AMP PREC CS BIDIR 50V SOT23-6,0,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Obsolete","Current Sense","1","-","-","-","6kHz","-","30ÂµV","680nA","-","2 V ~ 25 V","-40Â°C ~ 105Â°C","Surface Mount","SOT-23-6","SOT-23-6"
http://www.linear.com/docs/46967,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1718;DCB;8.jpg,LTC6363HDCB#PBF-ND,LTC6363HDCB#PBF,Linear Technology,IC OPAMP DIFF RRO 8DFN,0,0,"Discontinued at Digi-Key","0","405","Cut Strip","-","Discontinued at Digi-Key","Differential","1","Rail-to-Rail","75 V/Âµs","500MHz","35MHz","100nA","25ÂµV","1.9mA","55mA","2.8 V ~ 11 V, Â±1.4 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","8-WFDFN Exposed Pad","8-DFN (2x3)"
http://www.linear.com/docs/46967,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1718;DCB;8.jpg,LTC6363IDCB#PBF-ND,LTC6363IDCB#PBF,Linear Technology,IC OPAMP DIFF RRO 8DFN,0,0,"Discontinued at Digi-Key","0","463","Cut Strip","-","Discontinued at Digi-Key","Differential","1","Rail-to-Rail","75 V/Âµs","500MHz","35MHz","100nA","25ÂµV","1.9mA","55mA","2.8 V ~ 11 V, Â±1.4 V ~ 5.5 V","-40Â°C ~ 85Â°C","Surface Mount","8-WFDFN Exposed Pad","8-DFN (2x3)"
http://source.z2data.com/2016/11/28/10/0/48/868/3133606/lf411jan.pdf,//media.digikey.com/Photos/National%20Semi%20Photos/14-8-CDIP%20_14;%20J08A;%20;%208.jpg,JL411BPA-ND,JL411BPA,Texas Instruments,IC OP AMP JFET 3MHZ 8CDIP,0,0,"Obsolete","0","0","Tube","-","Obsolete","J-FET","1","-","7 V/Âµs","3MHz","-","50pA","30ÂµV","4mA","80mA","-","-55Â°C ~ 125Â°C","Through Hole","8-CDIP (0.300"", 7.62mm)","8-CDIP"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/LF412JAN.pdf,//media.digikey.com/Photos/National%20Semi%20Photos/14-8-CDIP%20_14;%20J08A;%20;%208.jpg,JL412BPA-ND,JL412BPA,Texas Instruments,IC OP AMP JFET 3MHZ 8CDIP,0,0,"Obsolete","0","0","Tube","-","Obsolete","J-FET","2","-","7 V/Âµs","3MHz","-","50pA","30ÂµV","8mA","80mA","-","-55Â°C ~ 125Â°C","Through Hole","8-CDIP (0.300"", 7.62mm)","8-CDIP"
