ï»¿Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Amplifier Type","Number of Circuits","Output Type","Slew Rate","Gain Bandwidth Product","-3db Bandwidth","Current - Input Bias","Voltage - Input Offset","Current - Supply","Current - Output / Channel","Voltage - Supply, Single/Dual (Â±)","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://semicon.njr.co.jp/eng/PDF/NJU7082B_E.pdf,//media.digikey.com/photos/NJR%20Photos/NJU7082BV-TE1.JPG,NJU7082BV-TE1CT-ND,NJU7082BV-TE1,NJR Corporation/NJRC,IC OPAMP AUDIO 8SSOP,948,0,"0.99000","0","1","Cut Tape (CT)","-","Obsolete","Audio","2","-","1 V/Âµs","-","-","10pA","10mV","3mA","30mA","2.4 V ~ 5.5 V","-25Â°C ~ 75Â°C","Surface Mount","8-LSSOP (0.173"", 4.40mm Width)","8-SSOP"
http://semicon.njr.co.jp/eng/PDF/NJU7082B_E.pdf,//media.digikey.com/photos/NJR%20Photos/NJU7082BV-TE1.JPG,NJU7082BV-TE1DKR-ND,NJU7082BV-TE1,NJR Corporation/NJRC,IC OPAMP AUDIO 8SSOP,948,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Obsolete","Audio","2","-","1 V/Âµs","-","-","10pA","10mV","3mA","30mA","2.4 V ~ 5.5 V","-25Â°C ~ 75Â°C","Surface Mount","8-LSSOP (0.173"", 4.40mm Width)","8-SSOP"
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/amp_linear/opamp/bu7441g-e.pdf,//media.digikey.com/Photos/Rohm%20Photos/MFG_TSOP8.jpg,BU7442FVMTR-ND,BU7442FVM-TR,Rohm Semiconductor,IC OPAMP GP 600KHZ 8MSOP,0,0,"0.34800","0","3000","Tape & Reel (TR)","-","Active","General Purpose","2","-","0.3 V/Âµs","600kHz","-","1pA","1mV","100ÂµA","10mA","1.7 V ~ 5.5 V, Â±0.85 V ~ 2.75 V","-40Â°C ~ 85Â°C","Surface Mount","8-VSSOP, 8-MSOP (0.110"", 2.80mm Width)","8-MSOP"
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/amp_linear/opamp/bu7441g-e.pdf,//media.digikey.com/Photos/Rohm%20Photos/MFG_TSOP8.jpg,BU7442FVMCT-ND,BU7442FVM-TR,Rohm Semiconductor,IC OPAMP GP 600KHZ 8MSOP,922,0,"0.99000","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","General Purpose","2","-","0.3 V/Âµs","600kHz","-","1pA","1mV","100ÂµA","10mA","1.7 V ~ 5.5 V, Â±0.85 V ~ 2.75 V","-40Â°C ~ 85Â°C","Surface Mount","8-VSSOP, 8-MSOP (0.110"", 2.80mm Width)","8-MSOP"
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/amp_linear/opamp/bu7441g-e.pdf,//media.digikey.com/Photos/Rohm%20Photos/MFG_TSOP8.jpg,BU7442FVMDKR-ND,BU7442FVM-TR,Rohm Semiconductor,IC OPAMP GP 600KHZ 8MSOP,0,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Discontinued at Digi-Key","General Purpose","2","-","0.3 V/Âµs","600kHz","-","1pA","1mV","100ÂµA","10mA","1.7 V ~ 5.5 V, Â±0.85 V ~ 2.75 V","-40Â°C ~ 85Â°C","Surface Mount","8-VSSOP, 8-MSOP (0.110"", 2.80mm Width)","8-MSOP"
http://www.st.com/content/ccc/resource/technical/document/datasheet/cd/59/70/5c/2b/a7/4e/ac/CD00000497.pdf/files/CD00000497.pdf/jcr:content/translations/en.CD00000497.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,497-8087-2-ND,TS27L4IPT,STMicroelectronics,IC OPAMP GP 100KHZ 14TSSOP,0,0,"0.40880","0","2500","Tape & Reel (TR)","-","Active","General Purpose","4","-","0.04 V/Âµs","100kHz","-","1pA","1.1mV","10ÂµA","45mA","3 V ~ 16 V, Â±1.5 V ~ 8 V","-40Â°C ~ 125Â°C","Surface Mount","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.st.com/content/ccc/resource/technical/document/datasheet/cd/59/70/5c/2b/a7/4e/ac/CD00000497.pdf/files/CD00000497.pdf/jcr:content/translations/en.CD00000497.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,497-8087-1-ND,TS27L4IPT,STMicroelectronics,IC OPAMP GP 100KHZ 14TSSOP,901,0,"0.99000","0","1","Cut Tape (CT)","-","Active","General Purpose","4","-","0.04 V/Âµs","100kHz","-","1pA","1.1mV","10ÂµA","45mA","3 V ~ 16 V, Â±1.5 V ~ 8 V","-40Â°C ~ 125Â°C","Surface Mount","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.st.com/content/ccc/resource/technical/document/datasheet/cd/59/70/5c/2b/a7/4e/ac/CD00000497.pdf/files/CD00000497.pdf/jcr:content/translations/en.CD00000497.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,497-8087-6-ND,TS27L4IPT,STMicroelectronics,IC OPAMP GP 100KHZ 14TSSOP,901,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","General Purpose","4","-","0.04 V/Âµs","100kHz","-","1pA","1.1mV","10ÂµA","45mA","3 V ~ 16 V, Â±1.5 V ~ 8 V","-40Â°C ~ 125Â°C","Surface Mount","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.st.com/content/ccc/resource/technical/document/datasheet/b8/ac/21/72/20/a7/4d/ea/CD00001338.pdf/files/CD00001338.pdf/jcr:content/translations/en.CD00001338.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-SOIC.jpg,497-15621-2-ND,TS954IDT,STMicroelectronics,IC OPAMP GP 3MHZ RRO 14SO,0,0,"0.40600","0","2500","Tape & Reel (TR)","-","Active","General Purpose","4","Rail-to-Rail","1 V/Âµs","3MHz","-","35nA","6mV","950ÂµA","10mA","2.7 V ~ 12 V","-40Â°C ~ 125Â°C","Surface Mount","14-SOIC (0.154"", 3.90mm Width)","14-SO"
http://www.st.com/content/ccc/resource/technical/document/datasheet/b8/ac/21/72/20/a7/4d/ea/CD00001338.pdf/files/CD00001338.pdf/jcr:content/translations/en.CD00001338.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-SOIC.jpg,497-15621-1-ND,TS954IDT,STMicroelectronics,IC OPAMP GP 3MHZ RRO 14SOIC,498,0,"0.99000","0","1","Cut Tape (CT)","-","Active","General Purpose","-","Rail-to-Rail","1 V/Âµs","3MHz","-","35nA","6mV","950ÂµA","10mA","2.7 V ~ 12 V","-40Â°C ~ 125Â°C","Surface Mount","14-SOIC (0.154"", 3.90mm Width)","14-SO"
