ï»¿Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Amplifier Type","Number of Circuits","Output Type","Slew Rate","Gain Bandwidth Product","-3db Bandwidth","Current - Input Bias","Voltage - Input Offset","Current - Supply","Current - Output / Channel","Voltage - Supply, Single/Dual (Â±)","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.st.com/content/ccc/resource/technical/document/datasheet/61/46/87/01/98/ed/44/c5/CD00000464.pdf/files/CD00000464.pdf/jcr:content/translations/en.CD00000464.pdf,//media.digikey.com/Renders/STMicro%20Renders/STM%208-SOIC.jpg,497-1591-2-ND,LM358DT,STMicroelectronics,IC OPAMP GP 1.1MHZ 8SO,22500,0,"0.08460","0","2500","Tape & Reel (TR)","-","Active","General Purpose","2","-","0.6 V/Âµs","1.1MHz","-","20nA","2mV","700ÂµA","60mA","3 V ~ 30 V, Â±1.5 V ~ 15 V","0Â°C ~ 70Â°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SO"
http://www.st.com/content/ccc/resource/technical/document/datasheet/61/46/87/01/98/ed/44/c5/CD00000464.pdf/files/CD00000464.pdf/jcr:content/translations/en.CD00000464.pdf,//media.digikey.com/Renders/STMicro%20Renders/STM%208-SOIC.jpg,497-1591-1-ND,LM358DT,STMicroelectronics,IC OPAMP GP 1.1MHZ 8SO,25150,0,"0.39000","0","1","Cut Tape (CT)","-","Active","General Purpose","2","-","0.6 V/Âµs","1.1MHz","-","20nA","2mV","700ÂµA","60mA","3 V ~ 30 V, Â±1.5 V ~ 15 V","0Â°C ~ 70Â°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SO"
http://www.st.com/content/ccc/resource/technical/document/datasheet/61/46/87/01/98/ed/44/c5/CD00000464.pdf/files/CD00000464.pdf/jcr:content/translations/en.CD00000464.pdf,//media.digikey.com/Renders/STMicro%20Renders/STM%208-SOIC.jpg,497-1591-6-ND,LM358DT,STMicroelectronics,IC OPAMP GP 1.1MHZ 8SO,25150,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","General Purpose","2","-","0.6 V/Âµs","1.1MHz","-","20nA","2mV","700ÂµA","60mA","3 V ~ 30 V, Â±1.5 V ~ 15 V","0Â°C ~ 70Â°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SO"
http://www.st.com/content/ccc/resource/technical/document/datasheet/fa/2c/e4/1d/5f/74/45/2a/DM00052423.pdf/files/DM00052423.pdf/jcr:content/translations/en.DM00052423.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP.JPG,497-14061-2-ND,LMV358LIPT,STMicroelectronics,IC OPAMP GP 1.3MHZ RRO 8TSSOP,68000,0,"0.13530","0","4000","Tape & Reel (TR)","-","Active","General Purpose","2","Rail-to-Rail","0.7 V/Âµs","1.3MHz","-","27nA","1mV","130ÂµA","70mA","2.7 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","-","-"
http://www.st.com/content/ccc/resource/technical/document/datasheet/fa/2c/e4/1d/5f/74/45/2a/DM00052423.pdf/files/DM00052423.pdf/jcr:content/translations/en.DM00052423.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP.JPG,497-14061-1-ND,LMV358LIPT,STMicroelectronics,IC OPAMP GP 1.3MHZ RRO 8TSSOP,70262,0,"0.49000","0","1","Cut Tape (CT)","-","Active","General Purpose","2","Rail-to-Rail","0.7 V/Âµs","1.3MHz","-","27nA","1mV","130ÂµA","70mA","2.7 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","-","-"
http://www.st.com/content/ccc/resource/technical/document/datasheet/fa/2c/e4/1d/5f/74/45/2a/DM00052423.pdf/files/DM00052423.pdf/jcr:content/translations/en.DM00052423.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP.JPG,497-14061-6-ND,LMV358LIPT,STMicroelectronics,IC OPAMP GP 1.3MHZ RRO 8TSSOP,70262,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","General Purpose","2","Rail-to-Rail","0.7 V/Âµs","1.3MHz","-","27nA","1mV","130ÂµA","70mA","2.7 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","-","-"
http://www.st.com/content/ccc/resource/technical/document/datasheet/fa/2c/e4/1d/5f/74/45/2a/DM00052423.pdf/files/DM00052423.pdf/jcr:content/translations/en.DM00052423.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP_8-MSOP.jpg,497-13055-2-ND,LMV358LIST,STMicroelectronics,IC OPAMP GP 1.3MHZ RRO 8MINISO,44000,0,"0.13530","0","4000","Tape & Reel (TR)","-","Active","General Purpose","2","Rail-to-Rail","0.7 V/Âµs","1.3MHz","-","27nA","1mV","130ÂµA","70mA","2.7 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MiniSO"
http://www.st.com/content/ccc/resource/technical/document/datasheet/fa/2c/e4/1d/5f/74/45/2a/DM00052423.pdf/files/DM00052423.pdf/jcr:content/translations/en.DM00052423.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP_8-MSOP.jpg,497-13055-1-ND,LMV358LIST,STMicroelectronics,IC OPAMP GP 1.3MHZ RRO 8MINISO,47513,0,"0.49000","0","1","Cut Tape (CT)","-","Active","General Purpose","2","Rail-to-Rail","0.7 V/Âµs","1.3MHz","-","27nA","1mV","130ÂµA","70mA","2.7 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MiniSO"
http://www.st.com/content/ccc/resource/technical/document/datasheet/fa/2c/e4/1d/5f/74/45/2a/DM00052423.pdf/files/DM00052423.pdf/jcr:content/translations/en.DM00052423.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP_8-MSOP.jpg,497-13055-6-ND,LMV358LIST,STMicroelectronics,IC OPAMP GP 1.3MHZ RRO 8MINISO,47513,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","General Purpose","2","Rail-to-Rail","0.7 V/Âµs","1.3MHz","-","27nA","1mV","130ÂµA","70mA","2.7 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MiniSO"
http://www.st.com/content/ccc/resource/technical/document/datasheet/b9/d8/3b/8f/a1/8f/46/01/CD00079372.pdf/files/CD00079372.pdf/jcr:content/translations/en.CD00079372.pdf,//media.digikey.com/Renders/STMicro%20Renders/SOT23-5.jpg,497-4941-2-ND,LMV321ILT,STMicroelectronics,IC OPAMP GP 1.3MHZ RRO SOT23-5,65000,0,"0.14570","0","3000","Tape & Reel (TR)","-","Active","General Purpose","1","Rail-to-Rail","0.45 V/Âµs","1.3MHz","-","16nA","100ÂµV","162ÂµA","48mA","2.7 V ~ 6 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.st.com/content/ccc/resource/technical/document/datasheet/b9/d8/3b/8f/a1/8f/46/01/CD00079372.pdf/files/CD00079372.pdf/jcr:content/translations/en.CD00079372.pdf,//media.digikey.com/Renders/STMicro%20Renders/SOT23-5.jpg,497-4941-1-ND,LMV321ILT,STMicroelectronics,IC OPAMP GP 1.3MHZ RRO SOT23-5,65973,0,"0.42000","0","1","Cut Tape (CT)","-","Active","General Purpose","1","Rail-to-Rail","0.45 V/Âµs","1.3MHz","-","16nA","100ÂµV","162ÂµA","48mA","2.7 V ~ 6 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.st.com/content/ccc/resource/technical/document/datasheet/b9/d8/3b/8f/a1/8f/46/01/CD00079372.pdf/files/CD00079372.pdf/jcr:content/translations/en.CD00079372.pdf,//media.digikey.com/Renders/STMicro%20Renders/SOT23-5.jpg,497-4941-6-ND,LMV321ILT,STMicroelectronics,IC OPAMP GP 1.3MHZ RRO SOT23-5,65973,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","General Purpose","1","Rail-to-Rail","0.45 V/Âµs","1.3MHz","-","16nA","100ÂµV","162ÂµA","48mA","2.7 V ~ 6 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.st.com/content/ccc/resource/technical/document/datasheet/b9/d8/3b/8f/a1/8f/46/01/CD00079372.pdf/files/CD00079372.pdf/jcr:content/translations/en.CD00079372.pdf,//media.digikey.com/Renders/STMicro%20Renders/SOT23-5.jpg,497-4942-2-ND,LMV321RILT,STMicroelectronics,IC OPAMP GP 1.3MHZ RRO SOT23-5,15000,0,"0.14570","0","3000","Tape & Reel (TR)","-","Active","General Purpose","1","Rail-to-Rail","0.45 V/Âµs","1.3MHz","-","16nA","100ÂµV","162ÂµA","48mA","2.7 V ~ 6 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
