ï»¿Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Amplifier Type","Number of Circuits","Output Type","Slew Rate","Gain Bandwidth Product","-3db Bandwidth","Current - Input Bias","Voltage - Input Offset","Current - Supply","Current - Output / Channel","Voltage - Supply, Single/Dual (Â±)","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/TS1100_DB.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-25.jpg,TS1100-200EG5-ND,TS1100-200EG5,Silicon Labs,IC AMP PREC CS 200V SOT23-5,570,0,"0.81810","0","100","Cut Strip","-","Obsolete","Current Sense","1","-","-","-","4.5kHz","-","30ÂµV","680nA","-","2 V ~ 25 V","-40Â°C ~ 105Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.st.com/content/ccc/resource/technical/document/datasheet/14/71/03/7d/73/75/43/9c/CD00265059.pdf/files/CD00265059.pdf/jcr:content/translations/en.CD00265059.pdf,//media.digikey.com/Renders/STMicro%20Renders/497;SC70(SOT323-5);;5.jpg,497-10628-2-ND,TSV6391ICT,STMicroelectronics,IC OPAMP GP 2.4MHZ RRO SC70-5,0,0,"0.30885","0","3000","Tape & Reel (TR)","-","Active","General Purpose","1","Rail-to-Rail","1.1 V/Âµs","2.4MHz","-","1pA","3mV","60ÂµA","72mA","1.5 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-70-5"
http://www.st.com/content/ccc/resource/technical/document/datasheet/14/71/03/7d/73/75/43/9c/CD00265059.pdf/files/CD00265059.pdf/jcr:content/translations/en.CD00265059.pdf,//media.digikey.com/Renders/STMicro%20Renders/497;SC70(SOT323-5);;5.jpg,497-10628-1-ND,TSV6391ICT,STMicroelectronics,IC OPAMP GP 2.4MHZ RRO SC70-5,323,0,"0.82000","0","1","Cut Tape (CT)","-","Active","General Purpose","1","Rail-to-Rail","1.1 V/Âµs","2.4MHz","-","1pA","3mV","60ÂµA","72mA","1.5 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-70-5"
http://www.st.com/content/ccc/resource/technical/document/datasheet/14/71/03/7d/73/75/43/9c/CD00265059.pdf/files/CD00265059.pdf/jcr:content/translations/en.CD00265059.pdf,//media.digikey.com/Renders/STMicro%20Renders/497;SC70(SOT323-5);;5.jpg,497-10628-6-ND,TSV6391ICT,STMicroelectronics,IC OPAMP GP 2.4MHZ RRO SC70-5,323,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","General Purpose","1","Rail-to-Rail","1.1 V/Âµs","2.4MHz","-","1pA","3mV","60ÂµA","72mA","1.5 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-70-5"
http://www.ti.com/lit/ds/symlink/tlc27l4a.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,296-7390-2-ND,TLC27L4CPWR,Texas Instruments,IC OPAMP GP 110KHZ 14TSSOP,0,0,"0.35380","0","2000","Tape & Reel (TR)","LinCMOSâ¢","Active","General Purpose","4","-","0.05 V/Âµs","110kHz","-","0.7pA","1.1mV","57ÂµA","30mA","3 V ~ 16 V, Â±1.5 V ~ 8 V","0Â°C ~ 70Â°C","Surface Mount","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.ti.com/lit/ds/symlink/tlc27l4a.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,296-7390-1-ND,TLC27L4CPWR,Texas Instruments,IC OPAMP GP 110KHZ 14TSSOP,948,0,"0.83000","0","1","Cut Tape (CT)","LinCMOSâ¢","Active","General Purpose","4","-","0.05 V/Âµs","110kHz","-","0.7pA","1.1mV","57ÂµA","30mA","3 V ~ 16 V, Â±1.5 V ~ 8 V","0Â°C ~ 70Â°C","Surface Mount","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.ti.com/lit/ds/symlink/tlc27l4a.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,296-7390-6-ND,TLC27L4CPWR,Texas Instruments,IC OPAMP GP 110KHZ 14TSSOP,948,0,"Digi-Reel","0","1","Digi-ReelÂ®","LinCMOSâ¢","Active","General Purpose","4","-","0.05 V/Âµs","110kHz","-","0.7pA","1.1mV","57ÂµA","30mA","3 V ~ 16 V, Â±1.5 V ~ 8 V","0Â°C ~ 70Â°C","Surface Mount","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.st.com/content/ccc/resource/technical/document/datasheet/39/12/97/14/01/a7/4f/de/DM00041851.pdf/files/DM00041851.pdf/jcr:content/translations/en.DM00041851.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,497-13209-2-ND,LMV824IPT,STMicroelectronics,IC OPAMP GP 5.5MHZ RRO 14TSSOP,0,0,"0.31175","0","2500","Tape & Reel (TR)","-","Active","General Purpose","4","Rail-to-Rail","1.9 V/Âµs","5.5MHz","-","60nA","800ÂµV","300ÂµA","70mA","2.5 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.st.com/content/ccc/resource/technical/document/datasheet/39/12/97/14/01/a7/4f/de/DM00041851.pdf/files/DM00041851.pdf/jcr:content/translations/en.DM00041851.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,497-13209-1-ND,LMV824IPT,STMicroelectronics,IC OPAMP GP 5.5MHZ RRO 14TSSOP,768,0,"0.83000","0","1","Cut Tape (CT)","-","Active","General Purpose","4","Rail-to-Rail","1.9 V/Âµs","5.5MHz","-","60nA","800ÂµV","300ÂµA","70mA","2.5 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.st.com/content/ccc/resource/technical/document/datasheet/39/12/97/14/01/a7/4f/de/DM00041851.pdf/files/DM00041851.pdf/jcr:content/translations/en.DM00041851.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,497-13209-6-ND,LMV824IPT,STMicroelectronics,IC OPAMP GP 5.5MHZ RRO 14TSSOP,768,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","General Purpose","4","Rail-to-Rail","1.9 V/Âµs","5.5MHz","-","60nA","800ÂµV","300ÂµA","70mA","2.5 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
