ï»¿Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Amplifier Type","Number of Circuits","Output Type","Slew Rate","Gain Bandwidth Product","-3db Bandwidth","Current - Input Bias","Voltage - Input Offset","Current - Supply","Current - Output / Channel","Voltage - Supply, Single/Dual (Â±)","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.diodes.com/assets/Datasheets/TLC27L1.pdf,//media.digikey.com/Renders/Diodes%20Renders/8-SOIC.jpg,TLC27L1BIS-13DIDKR-ND,TLC27L1BIS-13,Diodes Incorporated,IC OP AMP GP 110MHZ 8SO,1840,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","CMOS","1","-","0.04 V/Âµs","110kHz","-","0.7pA","2mV","14ÂµA","30mA","4 V ~ 16 V","-40Â°C ~ 85Â°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SO"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en528763,//media.digikey.com/Renders/Microchip%20Tech%20Renders/MSOP-8.jpg,MCP6032T-E/MSTR-ND,MCP6032T-E/MS,Microchip Technology,IC OPAMP GP RRO 10KHZ 8-MSOP,0,0,"0.75190","0","2500","Tape & Reel (TR)","-","Active","General Purpose","2","Rail-to-Rail","0.004 V/Âµs","10kHz","-","1pA","150ÂµV","900nA","23mA","1.8 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en528763,//media.digikey.com/Renders/Microchip%20Tech%20Renders/MSOP-8.jpg,MCP6032T-E/MSCT-ND,MCP6032T-E/MS,Microchip Technology,IC OPAMP GP RRO 10KHZ 8-MSOP,1400,0,"0.99000","0","1","Cut Tape (CT)","-","Active","General Purpose","2","Rail-to-Rail","0.004 V/Âµs","10kHz","-","1pA","150ÂµV","900nA","23mA","1.8 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en528763,//media.digikey.com/Renders/Microchip%20Tech%20Renders/MSOP-8.jpg,MCP6032T-E/MSDKR-ND,MCP6032T-E/MS,Microchip Technology,IC OPAMP GP RRO 10KHZ 8-MSOP,1400,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","General Purpose","2","Rail-to-Rail","0.004 V/Âµs","10kHz","-","1pA","150ÂµV","900nA","23mA","1.8 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.st.com/content/ccc/resource/technical/document/datasheet/d8/e3/a5/aa/8f/d7/42/67/CD00144611.pdf/files/CD00144611.pdf/jcr:content/translations/en.CD00144611.pdf,//media.digikey.com/Renders/STMicro%20Renders/SOT23-5.jpg,497-11027-1-ND,TSV991AIYLT,STMicroelectronics,IC OPAMP GP 20MHZ RRO SOT23-5,1330,0,"0.99000","0","1","Cut Tape (CT)","Automotive, AEC-Q100","Discontinued at Digi-Key","General Purpose","1","Rail-to-Rail","10 V/Âµs","20MHz","-","1pA","1.5mV","820ÂµA","35mA","2.5 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.st.com/content/ccc/resource/technical/document/datasheet/d8/e3/a5/aa/8f/d7/42/67/CD00144611.pdf/files/CD00144611.pdf/jcr:content/translations/en.CD00144611.pdf,//media.digikey.com/Renders/STMicro%20Renders/SOT23-5.jpg,497-11027-6-ND,TSV991AIYLT,STMicroelectronics,IC OPAMP GP 20MHZ RRO SOT23-5,0,0,"Digi-Reel","0","1","Digi-ReelÂ®","Automotive, AEC-Q100","Discontinued at Digi-Key","General Purpose","1","Rail-to-Rail","10 V/Âµs","20MHz","-","1pA","1.5mV","820ÂµA","35mA","2.5 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/amp_linear/opamp/bu7441g-e.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,BU7442F-E2TR-ND,BU7442F-E2,Rohm Semiconductor,IC OPAMP GP 600KHZ 8SOP,0,0,"0.34800","0","2500","Tape & Reel (TR)","-","Active","General Purpose","2","-","0.3 V/Âµs","600kHz","-","1pA","1mV","100ÂµA","10mA","1.7 V ~ 5.5 V, Â±0.85 V ~ 2.75 V","-40Â°C ~ 85Â°C","Surface Mount","8-SOIC (0.173"", 4.40mm Width)","8-SOP"
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/amp_linear/opamp/bu7441g-e.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,BU7442F-E2CT-ND,BU7442F-E2,Rohm Semiconductor,IC OPAMP GP 600KHZ 8SOP,1215,0,"0.99000","0","1","Cut Tape (CT)","-","Active","General Purpose","2","-","0.3 V/Âµs","600kHz","-","1pA","1mV","100ÂµA","10mA","1.7 V ~ 5.5 V, Â±0.85 V ~ 2.75 V","-40Â°C ~ 85Â°C","Surface Mount","8-SOIC (0.173"", 4.40mm Width)","8-SOP"
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/amp_linear/opamp/bu7441g-e.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,BU7442F-E2DKR-ND,BU7442F-E2,Rohm Semiconductor,IC OPAMP GP 600KHZ 8SOP,1215,0,"Digi-Reel","0","1","Digi-ReelÂ®","-","Active","General Purpose","2","-","0.3 V/Âµs","600kHz","-","1pA","1mV","100ÂµA","10mA","1.7 V ~ 5.5 V, Â±0.85 V ~ 2.75 V","-40Â°C ~ 85Â°C","Surface Mount","8-SOIC (0.173"", 4.40mm Width)","8-SOP"
https://www.exar.com/content/document.ashx?id=21389,//media.digikey.com/Renders/Exar%20Corp%20Renders/Exar%20SOT23-5.jpg,1016-1943-2-ND,CLC1010IST5X,Exar Corporation,IC OPAMP VFB 4MHZ RRO SOT23-5,0,0,"0.35097","0","3000","Tape & Reel (TR)","-","Active","Voltage Feedback","1","Rail-to-Rail","9 V/Âµs","4MHz","3.4MHz","90nA","1mV","70ÂµA","4mA","2.5 V ~ 5.5 V, Â±1.25 V ~ 2.75 V","-40Â°C ~ 85Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
