ï»¿Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Amplifier Type","Number of Circuits","Output Type","Slew Rate","Gain Bandwidth Product","-3db Bandwidth","Current - Input Bias","Voltage - Input Offset","Current - Supply","Current - Output / Channel","Voltage - Supply, Single/Dual (Â±)","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.ti.com/lit/ds/symlink/tlv8801.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,TLV8801DBVR-ND,TLV8801DBVR,Texas Instruments,IC OP AMP GP RR 6KHZ 5-SOT-23,0,9000,"0.19065","0","3000","Tape & Reel (TR)","-","Active","General Purpose","1","Rail-to-Rail","0.0015 V/Âµs","6kHz","-","0.1pA","550ÂµV","450nA","4.7mA","1.7 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.ti.com/lit/ds/symlink/lmv611.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/SC70-5.jpg,LMV611MGX/NOPB-ND,LMV611MGX/NOPB,Texas Instruments,IC OPAMP GP 1.5MHZ RRO SC70-5,0,0,"0.19125","0","3000","Tape & Reel (TR)","-","Active","General Purpose","1","Rail-to-Rail","0.42 V/Âµs","1.5MHz","-","14nA","1mV","116ÂµA","100mA","1.8 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-70-5"
http://www.ti.com/lit/ds/symlink/lmv611.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/SOT-23-5%20PKG.jpg,LMV611MFX/NOPB-ND,LMV611MFX/NOPB,Texas Instruments,IC OPAMP GP 1.5MHZ RRO SOT23-5,0,0,"0.19125","0","3000","Tape & Reel (TR)","-","Active","General Purpose","1","Rail-to-Rail","0.42 V/Âµs","1.5MHz","-","14nA","1mV","116ÂµA","100mA","1.8 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.ti.com/lit/ds/symlink/lmv601.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4093553-4;DCK;6.jpg,296-46438-2-ND,LMV601MGX/NOPB,Texas Instruments,IC OPAMP GP 1MHZ RRO SC70-6,0,0,"0.19125","0","3000","Tape & Reel (TR)","-","Active","General Purpose","1","Rail-to-Rail","1 V/Âµs","1MHz","-","0.02pA","250ÂµV","107ÂµA","113mA","2.7 V ~ 5.5 V","-40Â°C ~ 125Â°C","Surface Mount","6-TSSOP, SC-88, SOT-363","SC-70-6"
http://www.ti.com/lit/ds/symlink/lm2902-q1.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,LM2902KVQPWRG4Q1-ND,LM2902KVQPWRG4Q1,Texas Instruments,IC OPAMP GP 1.2MHZ 14TSSOP,0,0,"0.19220","0","4000","Tape & Reel (TR)","Automotive, AEC-Q100","Active","General Purpose","4","-","0.5 V/Âµs","1.2MHz","-","20nA","3mV","1.4mA","60mA","3 V ~ 32 V, Â±1.5 V ~ 16 V","-40Â°C ~ 125Â°C","Surface Mount","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.ti.com/lit/ds/symlink/lm2902-q1.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,LM2902QPWRG4Q1-ND,LM2902QPWRG4Q1,Texas Instruments,IC OPAMP GP 1.2MHZ 14TSSOP,0,0,"0.19220","0","4000","Tape & Reel (TR)","Automotive, AEC-Q100","Active","General Purpose","4","-","0.5 V/Âµs","1.2MHz","-","20nA","3mV","1.4mA","60mA","3 V ~ 26 V, Â±1.5 V ~ 13 V","-40Â°C ~ 125Â°C","Surface Mount","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
http://www.ti.com/lit/ds/symlink/lm2904-q1.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,LM2904VQDRG4Q1-ND,LM2904VQDRG4Q1,Texas Instruments,IC OPAMP GP 700KHZ 8SOIC,0,10000,"0.19220","0","2500","Tape & Reel (TR)","Automotive, AEC-Q100","Active","General Purpose","2","-","0.3 V/Âµs","700kHz","-","20nA","3mV","1mA","30mA","3 V ~ 26 V, Â±1.5 V ~ 13 V","-40Â°C ~ 125Â°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.onsemi.com/pub_link/Collateral/MC3403-D.PDF,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-SOIC.jpg,MC3403DGOS-ND,MC3403DG,ON Semiconductor,IC OPAMP GP 1MHZ 14SOIC,0,0,"0.19344","0","2420","Tube","-","Active","General Purpose","4","-","0.6 V/Âµs","1MHz","-","200nA","2mV","2.8mA","20mA","3 V ~ 36 V, Â±1.5 V ~ 18 V","0Â°C ~ 70Â°C","Surface Mount","14-SOIC (0.154"", 3.90mm Width)","14-SOIC"
https://www.renesas.com/en-us/doc/products/linear/r03ds0081ej0200_ha1630s01.pdf,-,HA1630S01CMEL-E-ND,HA1630S01CMEL-E,Renesas Electronics America,IC OPAMP GP 200KHZ SC88A,0,0,"0.19375","0","3000","Tape & Reel (TR)","-","Active","General Purpose","1","-","0.125 V/Âµs","200kHz","-","1pA","4mV","15ÂµA","1.2mA","1.8 V ~ 5.5 V","-40Â°C ~ 85Â°C","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-88A"
https://www.renesas.com/en-us/doc/products/linear/r03ds0081ej0200_ha1630s01.pdf,-,HA1630S02CMEL-E-ND,HA1630S02CMEL-E,Renesas Electronics America,IC OPAMP GP 680KHZ SC88A,0,0,"0.19375","0","3000","Tape & Reel (TR)","-","Active","General Purpose","1","-","0.5 V/Âµs","680kHz","-","1pA","4mV","50ÂµA","1mA","1.8 V ~ 5.5 V","-40Â°C ~ 85Â°C","Surface Mount","5-TSSOP, SC-70-5, SOT-353","SC-88A"
